time,pop_size,threads,top_fitness
0.2622590065,100,1,20
0.261280059814,100,1,20
0.263714075089,100,1,19
0.268628120422,100,1,19
0.265397071838,100,1,20
0.261119127274,100,1,19
0.751592874527,500,1,17
0.703691005707,500,1,19
0.71953701973,500,1,18
0.739939928055,500,1,17
0.695468902588,500,1,18
0.782829046249,500,1,17
0.728109836578,500,1,19
0.777503967285,500,1,18
0.793987035751,500,1,18
0.89790391922,500,1,17
1.30604195595,1000,1,17
1.27508091927,1000,1,17
1.36646294594,1000,1,18
1.31186199188,1000,1,17
1.35184597969,1000,1,17
1.35844111443,1000,1,17
1.33531689644,1000,1,17
1.32484102249,1000,1,18
0.113335132599,20,5,20
0.134689807892,20,5,20
0.112196922302,20,5,20
0.113408088684,20,5,20
0.112838029861,20,5,20
0.112038135529,20,5,20
0.113582849503,20,5,20
0.115061998367,20,5,20
0.112151145935,20,5,20
0.115634918213,20,5,20
1.37772798538,3,100,20
1.30686593056,3,100,20
1.36082482338,3,100,20
1.31369304657,3,100,20
1.3655128479,5,100,20
1.37817406654,3,100,20
1.38164591789,3,100,20
1.35157108307,5,100,20
1.39283299446,3,100,20
1.37228178978,5,100,20
1.47174096107,5,100,20
1.32337093353,3,100,20
1.33716511726,5,100,20
1.29600095749,5,100,20
1.23428297043,5,100,20
1.2663269043,3,100,20
1.45507693291,5,100,20
1.3095510006,5,100,20
1.51742506027,5,100,20
0.245232105255,100,1,19
0.255522966385,100,1,19
0.265839099884,100,1,20
0.281733036041,100,1,19
0.266750097275,30,10,20
1.37751698494,10,100,20
1.47448706627,10,100,20
1.43217515945,10,100,20
1.56329703331,10,100,20
1.39883303642,10,100,20
1.5069630146,10,100,20
1.47650504112,10,100,20
1.52774190903,10,100,20
1.5081679821,10,100,20
1.27174019814,10,100,20
0.500072002411,30,10,20
0.771363973618,30,10,20
0.42893910408,30,10,20
0.684626817703,30,10,20
0.525271892548,30,10,20
0.640475988388,30,10,20
0.611566066742,50,10,20
0.603886127472,50,10,20
0.685153961182,50,10,20
0.723657131195,30,10,20
0.802139997482,30,10,20
0.867875099182,50,10,20
0.747735023499,50,10,20
0.44974899292,50,10,20
0.579381942749,50,10,20
0.794914007187,50,10,20
0.674062013626,50,10,20
0.857883930206,50,10,20
0.654782056808,100,10,20
0.919195890427,100,10,20
0.679309844971,100,10,20
0.930144786835,100,10,20
0.482403039932,100,10,20
0.747833013535,100,10,20
0.985967874527,100,10,20
0.991823911667,100,10,20
0.775547981262,100,10,20
0.722921848297,100,10,20
